"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0012501","programmed cell death",279,0.327188360819113,1.76109541179422,0.000469984897179337,0.0108557721415714,0.00883193485964419,223,"tags=23%, list=15%, signal=24%","ANGPTL4/NUPR1/CLEC5A/TREM2/APOE/TGM2/BAG3/IL7R/SNAI1/ACTN1/ADAM8/PPIF/ITGA5/BNIP3/ID3/ERO1A/SPHK1/KRT18/HSPB1/HSPA1B/MTFP1/MERTK/HK2/SLC7A5/EMP1/PMP22/PLK3/ITGAV/AXL/PHLDA2/INHBA/CTSL/CEBPB/MMP9/ANKLE2/TGFBR1/DNASE2/CCL2/CCNL2/TNFSF12/CD38/PIM1/RHOB/HSPA1A/NEK6/MIF/PEA15/HMOX1/GSN/HSPD1/NRP1/HSPA5/ATF5/SKIL/APP/FPR2/G0S2/NAA15/TSC22D1/PRKCA/VEGFB/VEGFA/OPN3/PHLDA1"
"GO:0048513","animal organ development",279,0.326972767797009,1.75993497967771,0.000479527656585487,0.0109050230609382,0.00887200394970548,220,"tags=22%, list=15%, signal=23%","FN1/SPP1/NUPR1/MMP12/TGM2/SERPINH1/PDLIM7/MMP14/CD109/ADM/MMP19/IL7R/SNAI1/RETN/DHRS3/HPSE/ADAM8/PPIF/BNIP3/ACP5/ID3/ETV5/ERO1A/SPHK1/FKBP4/UGCG/MERTK/HK2/SLC7A5/SDC4/ENG/ITGAX/SLC20A1/AXL/PHLDA2/INHBA/VASH1/SLC26A2/CEBPB/MMP9/TGFBR1/SAP30/CCL2/ST14/RCN1/YWHAH/CLIC4/PIM1/UGP2/LDHA/NRP1/HSPA5/SERPINF1/ATF5/SKIL/CORO1C/NRP2/ANKH/FPR2/VEGFB/VEGFA/OPN3"
"GO:0050770","regulation of axonogenesis",11,0.784483885408599,2.17810953428059,0.000518529620355597,0.0116548576296206,0.00948204715803258,3,"tags=18%, list=0%, signal=18%","FN1/SPP1"
"GO:0071825","protein-lipid complex organization",12,0.767612149000862,2.19878007657392,0.000543218747540233,0.012069446425233,0.00981934432940239,104,"tags=42%, list=7%, signal=39%","ANGPTL4/APOE/APOC1/ABCG1/ACSL3"
"GO:2000145","regulation of cell motility",148,0.387571322559024,1.95432498616959,0.000592986192374891,0.0130254807938712,0.0105971455910058,218,"tags=30%, list=15%, signal=28%","FN1/TREM2/PLAU/APOE/GPNMB/MMP14/SNAI1/ADAM8/CD81/DNAJA4/SLAMF8/ITGA5/SPHK1/HSPB1/SDC4/DOCK4/ENG/ITGAX/ITGAV/PHLDA2/VASH1/MMP9/CATSPER1/CD9/TGFBR1/SAP30/CCL2/CCL20/CLIC4/RHOB/MIF/PTP4A1/HMOX1/NRP1/HSPA5/SERPINF1/CORO1C/NRP2/APP/FPR2/PRKCA/VEGFB/VEGFA/SRGAP1"
"GO:0048144","fibroblast proliferation",11,0.782179850085225,2.17171240949766,0.000604299935773274,0.013124851414042,0.0106779905859878,63,"tags=27%, list=4%, signal=26%","FN1/NUPR1/SPHK1"
"GO:0050767","regulation of neurogenesis",40,0.575702795694156,2.2881820178147,0.000631444131812294,0.0135620167421463,0.011033655355878,216,"tags=32%, list=15%, signal=28%","FN1/SPP1/TREM2/TGM2/ETV5/SLC7A5/YWHAH/SRRT/NRP1/BHLHE40/SERPINF1/SKIL/VEGFA"
"GO:0060560","developmental growth involved in morphogenesis",19,0.684065836559371,2.21381621843658,0.000660705724668805,0.0140345512723604,0.0114180954615985,239,"tags=47%, list=16%, signal=40%","FN1/SPP1/APOE/ALCAM/NRP1/NRP2/APP/VEGFA/SEMA4D"
"GO:0016053","organic acid biosynthetic process",29,0.629267764750153,2.28362366187244,0.000696699756376483,0.014480866979309,0.0117812047088451,225,"tags=45%, list=15%, signal=39%","ANGPTL4/APOC1/SCD/BCAT1/SLC1A3/ALOX5AP/FABP5/SDS/PTGS1/MIF/UGP2/ACSL4/DEGS1"
"GO:0046394","carboxylic acid biosynthetic process",29,0.629267764750153,2.28362366187244,0.000696699756376483,0.014480866979309,0.0117812047088451,225,"tags=45%, list=15%, signal=39%","ANGPTL4/APOC1/SCD/BCAT1/SLC1A3/ALOX5AP/FABP5/SDS/PTGS1/MIF/UGP2/ACSL4/DEGS1"
"GO:0048588","developmental cell growth",19,0.68264698272611,2.20922443580428,0.000720429926845635,0.0148147983892831,0.0120528814188956,239,"tags=47%, list=16%, signal=40%","FN1/SPP1/APOE/ALCAM/NRP1/NRP2/APP/VEGFA/SEMA4D"
"GO:0016049","cell growth",49,0.532509365062826,2.23205788497215,0.000767073663748566,0.0154927253067318,0.0126044226908037,239,"tags=39%, list=16%, signal=34%","FN1/SPP1/APOE/MMP14/FBP1/SPHK1/ALCAM/HSPA1B/INHBA/TGFBR1/CD38/HSPA1A/NRP1/NRP2/APP/VEGFA/ACSL4/SESN2/SEMA4D"
"GO:0008610","lipid biosynthetic process",74,0.472076495395949,2.13859249528701,0.00077744146650439,0.0154927253067318,0.0126044226908037,133,"tags=22%, list=9%, signal=21%","ANGPTL4/C3/APOE/APOC1/B3GNT5/SCD/ADM/SNAI1/ABCG1/SPHK1/UGCG/FABP5/ACSL3/INHBA/ST3GAL6/PTGS1"
"GO:0048878","chemical homeostasis",104,0.415970220135279,2.00115137939583,0.000772338397309621,0.0154927253067318,0.0126044226908037,272,"tags=31%, list=19%, signal=27%","ANGPTL4/TREM2/APOE/TGM2/APOC1/SLC11A2/ASPH/SLC1A3/SLAMF8/BNIP3/ABCG1/ERO1A/SLC11A1/HK2/FABP5/ATP2C1/BOLA3/ATP6V0A1/CLIC4/MT1F/SOAT1/HMOX1/SERPINF1/APP/ANKH/VEGFA/SESN2/ATP13A3/ATP1A1/ATP6V1B2/ATP2A2/ATP6V1H"
"GO:1904018","positive regulation of vasculature development",40,0.572323662733144,2.27475135300809,0.000827145519060498,0.0161502251347873,0.0131393450874682,216,"tags=45%, list=15%, signal=39%","ANGPTL4/C3/TGM2/ADM/ITGA5/SPHK1/HSPB1/HK2/ENG/ITGAX/TGFBR1/TNFSF12/RHOB/HMOX1/NRP1/PRKCA/VEGFB/VEGFA"
"GO:0045766","positive regulation of angiogenesis",38,0.571807397614553,2.23500146541186,0.00081880716908736,0.0161502251347873,0.0131393450874682,216,"tags=45%, list=15%, signal=39%","ANGPTL4/C3/TGM2/ADM/ITGA5/SPHK1/HSPB1/HK2/ENG/ITGAX/TNFSF12/RHOB/HMOX1/NRP1/PRKCA/VEGFB/VEGFA"
"GO:1905952","regulation of lipid localization",29,0.622975224181997,2.26078792271705,0.000856893859496409,0.0163997606970946,0.0133423598341598,167,"tags=34%, list=11%, signal=31%","SPP1/TREM2/C3/APOE/APOC1/RETN/ABCG1/ITGAV/PLIN2/MIF"
"GO:0051050","positive regulation of transport",102,0.424866539764977,2.0252495038762,0.000851397959247731,0.0163997606970946,0.0133423598341598,283,"tags=35%, list=19%, signal=31%","SPP1/TREM2/C3/FXYD3/APOE/BAG3/RETN/ASPH/ADAM8/CD81/ABCG1/SLC11A1/MERTK/SLC7A5/SDC4/PLK3/ATP2C1/ACSL3/AXL/INHBA/CEBPB/CCL2/CD38/MIF/APP/FPR2/PRKCA/VEGFA/OPN3/ACSL4/PGRMC1/MDM2/ZC3H12A/TLR2/IL2RG/FGR"
"GO:1901342","regulation of vasculature development",57,0.50510549067511,2.19144244961251,0.00088588669537661,0.0167884213937548,0.0136585626717508,216,"tags=37%, list=15%, signal=33%","ANGPTL4/C3/TGM2/GPNMB/ADM/ITGA5/SPHK1/HSPB1/HK2/ENG/ITGAX/VASH1/TGFBR1/TNFSF12/RHOB/HMOX1/NRP1/SERPINF1/PRKCA/VEGFB/VEGFA"
"GO:0044403","biological process involved in symbiotic interaction",38,0.563668021948633,2.20318740246555,0.000960645066294468,0.0179322087530329,0.0145891142086373,187,"tags=37%, list=13%, signal=33%","FN1/CLEC5A/CD81/ITGA5/HSPA1B/TREM1/ANPEP/ITGAV/AXL/CTSL/HSPA1A/HSPD1/NRP1/GBP5"
"GO:0048870","cell motility",202,0.34780783363093,1.83282477697527,0.000964795504560488,0.0179322087530329,0.0145891142086373,218,"tags=25%, list=15%, signal=25%","FN1/TREM2/MMP12/C3/PLAU/APOE/GPNMB/MMP14/SNAI1/ADAM8/CD81/DNAJA4/SLAMF8/ITGA5/FMNL2/SPHK1/HSPB1/MERTK/SDC4/DOCK4/ENG/ITGAX/TREM1/ITGAV/AXL/PHLDA2/VASH1/MMP9/CATSPER1/CD9/TGFBR1/SAP30/CCL2/TNFSF12/CCL20/CLIC4/RHOB/MIF/PTP4A1/HMOX1/NRP1/HSPA5/SERPINF1/CORO1C/NRP2/APP/FPR2/PRKCA/VEGFB/VEGFA/SRGAP1"
"GO:0070372","regulation of ERK1 and ERK2 cascade",41,0.557122710903443,2.22496234353546,0.000984528382281266,0.0181246986947589,0.0147457183270999,229,"tags=37%, list=16%, signal=32%","FN1/TREM2/APOE/GPNMB/INHBA/HAVCR2/MIF/NRP1/APP/FPR2/PRKCA/VEGFB/VEGFA/DUSP4/TNIP1"
"GO:0040017","positive regulation of locomotion",85,0.43876817979311,2.03850560809766,0.0010696010985802,0.019322793678089,0.0157204529392899,216,"tags=33%, list=15%, signal=30%","FN1/TREM2/PLAU/GPNMB/MMP14/SNAI1/ADAM8/ITGA5/SPHK1/HSPB1/DOCK4/ITGAX/ITGAV/MMP9/TGFBR1/CCL2/CCL20/RHOB/PTP4A1/HMOX1/NRP1/HSPA5/NRP2/APP/FPR2/PRKCA/VEGFB/VEGFA"
"GO:2000147","positive regulation of cell motility",85,0.43876817979311,2.03850560809766,0.0010696010985802,0.019322793678089,0.0157204529392899,216,"tags=33%, list=15%, signal=30%","FN1/TREM2/PLAU/GPNMB/MMP14/SNAI1/ADAM8/ITGA5/SPHK1/HSPB1/DOCK4/ITGAX/ITGAV/MMP9/TGFBR1/CCL2/CCL20/RHOB/PTP4A1/HMOX1/NRP1/HSPA5/NRP2/APP/FPR2/PRKCA/VEGFB/VEGFA"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",33,0.604781589357489,2.25320538633265,0.00115940574642343,0.0206707931110498,0.0168171453741979,283,"tags=52%, list=19%, signal=42%","FN1/TREM2/HPSE/ADAM8/MERTK/ENG/AXL/TGFBR1/APP/FPR2/PRKCA/VEGFB/VEGFA/SESN2/SEMA4D/PIK3R5/FGR"
"GO:0040011","locomotion",176,0.363063337955437,1.86575569495541,0.00116560602643788,0.0206707931110498,0.0168171453741979,218,"tags=27%, list=15%, signal=26%","FN1/TREM2/C3/PLAU/APOE/GPNMB/MMP14/SNAI1/ADAM8/CD81/DNAJA4/SLAMF8/ITGA5/SPHK1/HSPB1/SDC4/DOCK4/ENG/ITGAX/TREM1/RALA/ITGAV/PHLDA2/VASH1/MMP9/CATSPER1/CD9/TGFBR1/SAP30/CCL2/PLP2/CCL20/CLIC4/RHOB/MIF/PTP4A1/HMOX1/NRP1/HSPA5/SERPINF1/CORO1C/NRP2/APP/FPR2/PRKCA/VEGFB/VEGFA/SRGAP1"
"GO:0070371","ERK1 and ERK2 cascade",45,0.540807525192072,2.22700631965523,0.00131269102708331,0.0229845701445101,0.0186995658757307,229,"tags=36%, list=16%, signal=31%","FN1/TREM2/APOE/GPNMB/ITGAV/INHBA/HAVCR2/MIF/NRP1/APP/FPR2/PRKCA/VEGFB/VEGFA/DUSP4/TNIP1"
"GO:0001558","regulation of cell growth",39,0.563779733816767,2.22054908419427,0.00131985891673079,0.0229845701445101,0.0186995658757307,239,"tags=41%, list=16%, signal=35%","FN1/SPP1/APOE/MMP14/FBP1/SPHK1/HSPA1B/INHBA/TGFBR1/CD38/HSPA1A/NRP1/VEGFA/ACSL4/SESN2/SEMA4D"
"GO:0006457","protein folding",37,0.573568656096347,2.22930775602427,0.00136639089820414,0.0231687158441105,0.0188493813658078,189,"tags=43%, list=13%, signal=39%","BAG3/HSPA6/PPIF/DNAJA4/ERO1A/FKBP4/HSPH1/HSPB1/HSPA1B/DNAJB4/CHORDC1/HSPA1A/GRPEL1/HSPD1/QSOX1/HSPA5"
"GO:0050866","negative regulation of cell activation",47,0.515242491594769,2.14216393309288,0.00134618924501143,0.0231687158441105,0.0188493813658078,129,"tags=26%, list=9%, signal=24%","FN1/TREM2/APOE/GPNMB/MERTK/SDC4/IL4I1/AXL/PAG1/INHBA/CEBPB/CD9"
"GO:0003006","developmental process involved in reproduction",73,0.456624181700489,2.06212110434694,0.00136450902345641,0.0231687158441105,0.0188493813658078,138,"tags=25%, list=9%, signal=23%","SPP1/NUPR1/C3/LHFPL2/MMP14/MMP19/SNAI1/RETN/ETV5/FKBP4/MERTK/AXL/INHBA/CEBPB/PHC2/CATSPER1/TGFBR1/ST14"
"GO:0051049","regulation of transport",187,0.34359260431618,1.77616908923494,0.00139504500807757,0.0234488869618604,0.0190773202935276,283,"tags=29%, list=19%, signal=27%","SPP1/TREM2/C3/FXYD3/APOE/TGM2/APOC1/BAG3/RETN/ASPH/ADAM8/CD81/PPIF/ABCG1/SPHK1/SLC11A1/MERTK/HK2/SLC7A5/SDC4/RALA/FABP5/PLK3/ATP2C1/ACSL3/ITGAV/AXL/INHBA/CEBPB/MMP9/CCL2/CD38/YWHAH/PIM1/HSPA1A/MIF/PEA15/NRP1/GPR35/APP/FPR2/PRKCA/VEGFA/OPN3/ACSL4/VDAC1/PGRMC1/MDM2/ATP1A1/ZC3H12A/ATP2A2/TLR2/IL2RG/FGR"
"GO:0010565","regulation of ketone metabolic process",16,0.682272520439105,2.108479481592,0.00146475619099068,0.0244083941136637,0.0198579469087121,95,"tags=25%, list=7%, signal=24%","ANGPTL4/APOC1/ADM/FABP5"
"GO:0032368","regulation of lipid transport",23,0.649974495034934,2.21226251675403,0.00149445442697549,0.0244733878304701,0.0199108238727488,106,"tags=30%, list=7%, signal=29%","SPP1/TREM2/APOE/APOC1/RETN/ABCG1/ITGAV"
