"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ABCG1",8.99048093210497e-13,1.08396884948385,0.153,0.063,1.21713130858837e-08,"ABCG1"
"RGCC",9.19470000991057e-13,0.406643250230328,0.375,0.226,1.24477848734169e-08,"RGCC"
"ELL2",1.04256536140919e-12,0.530851064162641,0.37,0.228,1.41142498627576e-08,"ELL2"
"DNAJA4",1.06218298193155e-12,1.14443134135704,0.195,0.099,1.43798332093894e-08,"DNAJA4"
"IL4I1",1.12863348404235e-12,0.838759174929555,0.237,0.129,1.52794401069654e-08,"IL4I1"
"PDLIM2",1.26108886061496e-12,-0.851412467103973,0.094,0.18,1.70726209950053e-08,"PDLIM2"
"SKIL",1.34266555695056e-12,0.605567333903009,0.398,0.272,1.81770063099967e-08,"SKIL"
"ATP2B1",1.36690664896523e-12,-0.310569037550341,0.436,0.578,1.85051822136913e-08,"ATP2B1"
"IL1RAP",1.71034791946753e-12,1.0118511944618,0.126,0.045,2.31546901337515e-08,"IL1RAP"
"GLRX",1.71487385571997e-12,-0.371909131381726,0.449,0.579,2.3215962258737e-08,"GLRX"
"P4HA1",1.81945906247516e-12,0.802767638311324,0.269,0.156,2.46318367877887e-08,"P4HA1"
"FNBP1",1.92742239008197e-12,-0.442226365052367,0.332,0.475,2.60934443169297e-08,"FNBP1"
"FGL2",2.05326118637359e-12,-0.337394842681017,0.533,0.711,2.77970499411257e-08,"FGL2"
"SAMHD1",2.20705475846036e-12,-0.364739667790264,0.449,0.605,2.98791073200363e-08,"SAMHD1"
"HK3",2.22274522070719e-12,-1.13456165686455,0.05,0.116,3.00915247979339e-08,"HK3"
"ASPH",2.52481910091437e-12,1.22946307438813,0.16,0.071,3.41810009881787e-08,"ASPH"
"GPR155",2.72408395186566e-12,-1.15775523159629,0.046,0.109,3.68786485403573e-08,"GPR155"
"GNG2",2.91453259225139e-12,-0.751209108988916,0.092,0.178,3.94569422338992e-08,"GNG2"
"ICAM2",3.47902295178644e-12,-0.771533888970991,0.129,0.221,4.70990127212848e-08,"ICAM2"
"HSPA6",3.48313116783212e-12,1.40817243537389,0.248,0.154,4.71546297501113e-08,"HSPA6"
"ANPEP",3.53598039479578e-12,0.859062912703935,0.286,0.177,4.78701025847453e-08,"ANPEP"
"CD82",4.43567300797599e-12,0.537820639764529,0.223,0.115,6.0050141181979e-08,"CD82"
"CREM",4.50204045075383e-12,-0.332362813439705,0.592,0.682,6.09486236223054e-08,"CREM"
"PAG1",4.56528941591942e-12,0.837540527781574,0.208,0.107,6.18048881127172e-08,"PAG1"
"CD36",4.76926104186671e-12,-0.551761654959153,0.225,0.343,6.45662559847916e-08,"CD36"
"ACSL3",4.90606814882446e-12,0.841832614058906,0.251,0.143,6.64183505987856e-08,"ACSL3"
"SLC20A1",5.78327250927057e-12,0.842281647855694,0.264,0.158,7.82939432305049e-08,"SLC20A1"
"ZNF106",6.28007112365736e-12,-0.621775467431243,0.205,0.314,8.50196028720733e-08,"ZNF106"
"CD69",7.22513669038994e-12,-0.530538892234508,0.236,0.356,9.78139005144991e-08,"CD69"
"SEPP1",7.34426957169689e-12,-0.998372558356692,0.097,0.177,9.94267214616324e-08,"SEPP1"
"MIS18BP1",8.53507834760745e-12,-0.547268700016156,0.2,0.313,1.1554789066991e-07,"MIS18BP1"
"SERPINH1",8.54341766651064e-12,1.66711307558636,0.114,0.042,1.15660788369221e-07,"SERPINH1"
"PHGR1",9.89351377076789e-12,0.259713841728974,0.12,0.043,1.33938389428656e-07,"PHGR1"
"CORO1C",1.05521078172299e-11,0.600227542448974,0.312,0.191,1.42854435629658e-07,"CORO1C"
"CPVL",1.07656741234356e-11,-0.397351584132916,0.47,0.583,1.45745696283071e-07,"CPVL"
