"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"DENND3",1.14092478156166e-07,0.867105406648004,0.159,0.092,0.00154458396927817,"DENND3"
"CYBB",1.25091512942416e-07,-0.257082757651514,0.56,0.643,0.00169348890221442,"CYBB"
"SMIM14",1.25438995505364e-07,-0.464858817255694,0.174,0.252,0.00169819312115161,"SMIM14"
"ARL6IP1",1.2672488985609e-07,0.280986505851718,0.565,0.467,0.00171560155887175,"ARL6IP1"
"LY86",1.29332872188004e-07,-0.276234601190766,0.405,0.522,0.0017509084236812,"LY86"
"KATNBL1",1.35298250124051e-07,-0.636798781664132,0.106,0.172,0.0018316677101794,"KATNBL1"
"ADRBK1",1.45480540591526e-07,-0.506325037634854,0.134,0.206,0.00196951555852808,"ADRBK1"
"CD300A",1.47125454015227e-07,0.40359913096167,0.376,0.281,0.00199178439645814,"CD300A"
"ACTR3",1.55065647904189e-07,0.347048459659502,0.537,0.498,0.00209927874132691,"ACTR3"
"STIP1",1.57444006233568e-07,0.760276151451681,0.222,0.146,0.00213147695639005,"STIP1"
"TNFAIP2",1.57761959022631e-07,-0.353243535495664,0.316,0.414,0.00213578140124838,"TNFAIP2"
"LILRB1",1.60446044432554e-07,-0.451768412491284,0.127,0.199,0.00217211854952792,"LILRB1"
"SLC2A3",1.62227217541459e-07,0.388983390104112,0.663,0.605,0.00219623207107627,"SLC2A3"
"RAB11FIP1",1.68974834731652e-07,-0.43019581401979,0.184,0.268,0.00228758131259711,"RAB11FIP1"
"FMN1",1.73599767242598e-07,0.335966931767273,0.101,0.045,0.00235019364893029,"FMN1"
"ASGR2",1.7384078741506e-07,-0.621944052102983,0.055,0.105,0.00235345658002508,"ASGR2"
"MEGF9",1.74443202556594e-07,-0.814276781294873,0.074,0.129,0.00236161207621117,"MEGF9"
"ARID1A",1.82044095086987e-07,-0.535922199117417,0.156,0.23,0.00246451295928763,"ARID1A"
"ARID4A",1.83377513587426e-07,-0.458982914341301,0.179,0.259,0.00248256477894657,"ARID4A"
"PIK3IP1",1.99635876162477e-07,0.545723543899314,0.118,0.058,0.00270267049148762,"PIK3IP1"
"NR4A3",2.15100645433605e-07,-0.293186754073369,0.351,0.441,0.00291203253788014,"NR4A3"
"LILRA2",2.18995228304295e-07,-0.637497722537892,0.099,0.161,0.00296475740078355,"LILRA2"
"ERICH1",2.22587144290288e-07,-0.461352780490448,0.211,0.297,0.00301338475940192,"ERICH1"
"VAMP2",2.36233560800962e-07,-0.382919353220804,0.294,0.384,0.00319812994612342,"VAMP2"
"PPP1R10",2.36994021959686e-07,-0.486864915531375,0.223,0.307,0.00320842506929023,"PPP1R10"
"CD33",2.39926106105008e-07,-0.430307298739822,0.208,0.292,0.0032481196244496,"CD33"
"RHOH",2.63602409247559e-07,0.338513892275085,0.187,0.113,0.00356864941639346,"RHOH"
"ATP2C1",2.79658956782478e-07,0.843420998540128,0.138,0.075,0.00378602295692119,"ATP2C1"
"TNFSF12",2.81973075543277e-07,0.721397640605188,0.134,0.072,0.00381735149670488,"TNFSF12"
"SLC5A3",2.92601535809003e-07,1.02708784779572,0.153,0.091,0.00396123959178229,"SLC5A3"
"ERGIC1",2.94010541073027e-07,0.556513708257013,0.224,0.146,0.00398031470504664,"ERGIC1"
"ATAD2B",2.94277697492727e-07,-0.581473403784732,0.073,0.129,0.00398393146865654,"ATAD2B"
"CNDP2",3.03365084351721e-07,0.438378475269324,0.316,0.228,0.0041069565119536,"CNDP2"
"APOBR",3.03389520502014e-07,0.85839997458326,0.179,0.112,0.00410728732855626,"APOBR"
"CLEC11A",3.11734986496603e-07,0.73768792787825,0.163,0.097,0.00422026824719101,"CLEC11A"
"RASGRP2",3.11906981493083e-07,-0.676095210043654,0.083,0.14,0.00422259671545336,"RASGRP2"
"GM2A",3.30735414707326e-07,0.426695369092567,0.237,0.152,0.00447749604430778,"GM2A"
"SCIMP",3.623267264506e-07,-0.422974109864854,0.206,0.291,0.00490517922268823,"SCIMP"
"EZR",3.78985221143208e-07,-0.381971492250421,0.39,0.46,0.00513070192383675,"EZR"
"HIST1H2AC",3.79567901051565e-07,-0.692268123576197,0.071,0.124,0.00513859024443609,"HIST1H2AC"
"ABHD5",3.86780200096198e-07,-0.516060338032345,0.156,0.227,0.00523623034890233,"ABHD5"
"ACADVL",3.92348957555754e-07,0.512738366763367,0.348,0.27,0.0053116201873898,"ACADVL"
"TGFBR2",3.92436813789126e-07,-0.59804322814734,0.129,0.196,0.00531280958507718,"TGFBR2"
"RAB13",4.00636778057098e-07,0.499941021254298,0.295,0.21,0.00542382070133699,"RAB13"
"CHORDC1",4.0187515580165e-07,0.754312105960332,0.254,0.181,0.00544058585924273,"CHORDC1"
"GRINA",4.06893799795499e-07,0.331436132815275,0.493,0.383,0.00550852826163147,"GRINA"
"KIAA1551",4.21143418027414e-07,-0.427342977472748,0.122,0.19,0.00570143959325513,"KIAA1551"
"MTFP1",4.34268224948698e-07,0.977024812119514,0.109,0.054,0.00587912322935547,"MTFP1"
"ZNF217",4.50011495695812e-07,-0.312070322141775,0.072,0.127,0.00609225562872991,"ZNF217"
"SRSF7",4.53035123811491e-07,-0.278267279770115,0.539,0.642,0.00613318950615996,"SRSF7"
"NRP2",4.55406941870778e-07,0.598371232245584,0.156,0.089,0.00616529917904659,"NRP2"
"USP15",4.66978189376964e-07,-0.336230922935862,0.28,0.373,0.00632195072778533,"USP15"
"JAK2",4.68357593985524e-07,-0.704587908410867,0.075,0.129,0.00634062510737602,"JAK2"
"IL2RG",4.75560908150684e-07,0.495749812943337,0.312,0.232,0.00643814357454396,"IL2RG"
"FYN",4.96627181907299e-07,-0.481028249989517,0.075,0.131,0.00672333878866101,"FYN"
"ACER3",5.15485158667747e-07,0.438667415888837,0.243,0.163,0.00697863807804396,"ACER3"
"ANKRD22",5.17073281525998e-07,0.796597969010328,0.111,0.056,0.00700013808529897,"ANKRD22"
"SLC7A5",5.19836701233518e-07,0.928471866251176,0.138,0.077,0.00703754926129937,"SLC7A5"
"ARRB1",5.21012275618438e-07,-0.761211294133526,0.075,0.128,0.00705346418732241,"ARRB1"
"CD1D",5.39885273675939e-07,-0.655144115528879,0.123,0.187,0.00730896683502486,"CD1D"
"ANTXR2",5.55310934918857e-07,-0.55570444877681,0.075,0.131,0.00751779943693148,"ANTXR2"
"ARHGAP18",5.5695144771502e-07,0.25015029040735,0.427,0.334,0.00754000869916594,"ARHGAP18"
"RBP7",5.99514768684263e-07,-0.613390095966399,0.071,0.124,0.00811623093844755,"RBP7"
"HCLS1",6.29516249876649e-07,-0.281672028933424,0.483,0.569,0.00852239099083008,"HCLS1"
"M6PR",6.37961895995146e-07,0.386713186720338,0.43,0.354,0.00863672814798229,"M6PR"
"UTRN",6.87342694715428e-07,-0.32880294273769,0.187,0.267,0.00930524540105746,"UTRN"
"CDKN1B",7.12773731172602e-07,-0.41445395688207,0.148,0.22,0.00964953077261468,"CDKN1B"
"TMED2",7.36202074930697e-07,0.435650893369908,0.404,0.331,0.00996670369041178,"TMED2"
"PPM1F",7.52838221255428e-07,-0.824559037916924,0.06,0.107,0.010191923839356,"PPM1F"
"XAF1",7.58777957129257e-07,-0.438260656290953,0.168,0.242,0.0102723359836159,"XAF1"
"SRGAP1",8.14135473752944e-07,0.577081420076867,0.127,0.068,0.0110217660436674,"SRGAP1"
"THUMPD3-AS1",8.29732988984552e-07,-0.387958354392206,0.18,0.259,0.0112329252048729,"THUMPD3-AS1"
"ARRB2",8.3800091536793e-07,-0.305165508166673,0.401,0.486,0.011344856392251,"ARRB2"
"SAR1A",8.39987178252375e-07,0.370779389929812,0.31,0.221,0.0113717464191806,"SAR1A"
"CTNNB1",8.51562571323934e-07,0.309649300097626,0.413,0.312,0.0115284540905834,"CTNNB1"
"NR4A1",8.87812558700692e-07,-0.259085995140604,0.536,0.629,0.01201920641969,"NR4A1"
"ZBTB10",9.03134578236189e-07,-0.739574888855047,0.06,0.108,0.0122266359201615,"ZBTB10"
"EIF1AX",9.19961299317838e-07,0.323323038890444,0.514,0.417,0.0124544360701649,"EIF1AX"
"FAM208A",9.31550557448432e-07,-0.677970612624283,0.077,0.131,0.0126113314467369,"FAM208A"
"ICAM3",9.66803622812524e-07,-0.368968560904207,0.161,0.237,0.0130885874456359,"ICAM3"
"FCGR3A",9.8096397291577e-07,0.363663603148949,0.463,0.374,0.0132802902653337,"FCGR3A"
"SLC26A2",1.00195975795902e-06,0.782552098357455,0.112,0.058,0.0135645312032492,"SLC26A2"
"TAGAP",1.01036167952644e-06,-0.322145420325377,0.142,0.214,0.013678276417429,"TAGAP"
"MANF",1.02541813318159e-06,0.422471987471032,0.406,0.325,0.0138821106870124,"MANF"
"PAPD5",1.08047304264319e-06,-0.581225843629915,0.105,0.165,0.0146274440513035,"PAPD5"
"FPR3",1.19606698875445e-06,0.545218630425322,0.306,0.223,0.0161923548937578,"FPR3"
"SCO2",1.22564987787939e-06,-0.41349515154579,0.21,0.286,0.0165928480467311,"SCO2"
"SEMA4A",1.28823451444546e-06,-0.505060428048116,0.15,0.218,0.0174401188565626,"SEMA4A"
"EMP1",1.31260055969193e-06,0.879459734553598,0.115,0.06,0.0177699863771094,"EMP1"
"HM13",1.39841534417766e-06,0.426452064258116,0.347,0.262,0.0189317469294772,"HM13"
"GK",1.48295769251318e-06,0.395455829911704,0.436,0.34,0.0200762812412434,"GK"
"PDCD4",1.52557629472913e-06,-0.342110135013797,0.182,0.261,0.0206532518780429,"PDCD4"
"IRAK4",1.65488896722515e-06,-0.574336729171617,0.073,0.124,0.0224038868382941,"IRAK4"
"STAB1",1.67699977264739e-06,-0.438243052712928,0.216,0.292,0.0227032229221003,"STAB1"
"SEPW1",1.71183835120995e-06,0.378119851695624,0.376,0.292,0.0231748675986803,"SEPW1"
"USP1",1.7233383315317e-06,-0.5571195175306,0.113,0.173,0.0233305543322762,"USP1"
"GRPEL1",1.77677622517123e-06,0.664088995460948,0.218,0.149,0.024053996536368,"GRPEL1"
"FAM46A",1.85886874683073e-06,0.592889952225294,0.228,0.161,0.0251653650945945,"FAM46A"
"CAST",1.90988173450301e-06,-0.266739723307418,0.46,0.55,0.0258559789217018,"CAST"
"PECAM1",1.97291283787447e-06,-0.394917281830271,0.236,0.314,0.0267092939991446,"PECAM1"
"MMP9",2.00435168573365e-06,0.776636338349018,0.143,0.084,0.0271349131214622,"MMP9"
"ATP6V0A1",2.04904206638908e-06,0.692927203586734,0.153,0.092,0.0277399314947753,"ATP6V0A1"
"SERPINF1",2.05271127296065e-06,0.609656479220009,0.184,0.117,0.0277896052133413,"SERPINF1"
"DHRS4L2",2.13153543932758e-06,-0.513180983212834,0.168,0.235,0.0288567267776168,"DHRS4L2"
"ARFGEF1",2.21422741461072e-06,-0.626125020523048,0.083,0.137,0.029976210739,"ARFGEF1"
"PLEKHO1",2.22669150484387e-06,-0.362183954182273,0.245,0.325,0.0301449495925763,"PLEKHO1"
"SMAP2",2.28407732237252e-06,-0.389902211019678,0.336,0.406,0.0309218387902791,"SMAP2"
"IGFBP7",2.44447944583745e-06,-0.502138521693373,0.11,0.171,0.0330933627377474,"IGFBP7"
"MYO5A",2.588892228344e-06,-0.633976762753327,0.086,0.14,0.0350484229873211,"MYO5A"
"CLK1",2.62228956407414e-06,0.279371240003457,0.517,0.426,0.0355005561184358,"CLK1"
"UBXN11",2.70157464725809e-06,-0.597049216562214,0.088,0.141,0.03657391757458,"UBXN11"
"VKORC1",2.75083916625768e-06,0.416460768208356,0.387,0.304,0.0372408606327965,"VKORC1"
"ZFHX3",2.75556513801733e-06,-0.556552111776214,0.141,0.203,0.0373048408384786,"ZFHX3"
"TMED9",2.774686730075e-06,0.321410168257174,0.49,0.411,0.0375637089517553,"TMED9"
"ERAP2",2.85795573489861e-06,0.64491740666584,0.11,0.059,0.0386910047390574,"ERAP2"
"FRMD4B",2.87887721294345e-06,-0.509931898293576,0.206,0.275,0.0389742397088284,"FRMD4B"
"DENND4A",2.9146966338077e-06,-0.462698820283445,0.077,0.13,0.0394591630284886,"DENND4A"
"CD151",2.99058975059173e-06,0.472328908990623,0.249,0.173,0.0404866040435108,"CD151"
"ACAP2",3.08915278073787e-06,-0.306091650176257,0.236,0.32,0.0418209503456293,"ACAP2"
"MAP3K3",3.15985656169392e-06,-0.825106437152756,0.059,0.103,0.0427781381322122,"MAP3K3"
"ATG3",3.16197760624535e-06,-0.25449046286282,0.421,0.511,0.0428068528333495,"ATG3"
"YBX3",3.22212588934202e-06,-0.299701378299259,0.397,0.474,0.0436211402899122,"YBX3"
"BCL3",3.30279560963355e-06,-0.416873144590969,0.165,0.235,0.044713246963219,"BCL3"
"CYSTM1",3.74544482477518e-06,0.429776320068169,0.351,0.274,0.0507058320378064,"CYSTM1"
"HCFC1R1",3.80466877277561e-06,0.523872363742913,0.205,0.136,0.0515076058458362,"HCFC1R1"
"HERPUD1",3.81059354268336e-06,-0.263403458749694,0.569,0.617,0.0515878153808473,"HERPUD1"
"MYDGF",3.81561790872121e-06,0.27926733443392,0.519,0.437,0.0516558352482678,"MYDGF"
"ADAM15",3.85653801796294e-06,-0.925722750541921,0.061,0.105,0.0522098116871822,"ADAM15"
"MGAT4A",3.89065533180967e-06,0.44490354125369,0.211,0.14,0.0526716918820393,"MGAT4A"
"SHTN1",3.90292458928231e-06,-0.316314659997843,0.194,0.272,0.0528377930897039,"SHTN1"
"AKIRIN1",4.26366001381995e-06,-0.486308825959701,0.159,0.226,0.0577214292670944,"AKIRIN1"
"DEGS1",4.29791869120208e-06,0.565446189601638,0.246,0.179,0.0581852232414938,"DEGS1"
"AGTPBP1",4.57036212911211e-06,-0.632922342550786,0.062,0.107,0.0618735625039198,"AGTPBP1"
"FAM65B",4.64116599819146e-06,-0.437566564300021,0.092,0.147,0.062832105283516,"FAM65B"
"FAM53C",4.69539312969076e-06,-0.492090544814197,0.168,0.235,0.0635662321897535,"FAM53C"
"DOCK2",4.7963809639769e-06,-0.41723577223782,0.231,0.302,0.0649334054903193,"DOCK2"
"ALAS1",4.81974509470104e-06,1.05416608108697,0.119,0.068,0.0652497090920626,"ALAS1"
"RNF144B",5.19942322246509e-06,0.276131786737233,0.238,0.157,0.0703897915857324,"RNF144B"
"WBP1L",5.53953891932729e-06,-0.486261855167802,0.086,0.139,0.0749942778898529,"WBP1L"
"PFDN2",5.55166764652118e-06,0.36888798383649,0.483,0.417,0.0751584765986037,"PFDN2"
"PHKB",5.58426845735185e-06,-0.478580983690104,0.111,0.168,0.0755998263756293,"PHKB"
"IFNGR1",5.65625854933678e-06,0.311499251926626,0.437,0.352,0.0765744282409213,"IFNGR1"
"SLC36A4",5.82995895332491e-06,-0.295292109426803,0.115,0.178,0.0789259843101126,"SLC36A4"
"PTP4A1",6.06610916335711e-06,0.652848615895332,0.285,0.221,0.0821229858535285,"PTP4A1"
"CARD19",6.33979771552227e-06,0.422660087646307,0.266,0.189,0.0858281814727405,"CARD19"
"TGFBR1",6.45962862196042e-06,0.754940054793895,0.114,0.063,0.0874504522841002,"TGFBR1"
"FCGR1A",6.66742311123813e-06,0.382202941912437,0.353,0.273,0.0902635740799417,"FCGR1A"
"NRP1",6.86884560131938e-06,0.636918701097187,0.169,0.107,0.0929904317506618,"NRP1"
"DAB2",6.95173686048739e-06,0.293135964320914,0.288,0.206,0.0941126136172783,"DAB2"
"IRAK1",7.26288161208872e-06,0.448924505917358,0.178,0.113,0.0983248912644571,"IRAK1"
"ARID3A",7.55461857375956e-06,-0.410904051009125,0.071,0.119,0.102274426251557,"ARID3A"
"SESN2",7.74859444720025e-06,0.553223724011943,0.113,0.062,0.104900471626197,"SESN2"
"SNX2",7.83773443972852e-06,-0.298372149173172,0.342,0.426,0.106107248845045,"SNX2"
"ANKRD44",7.84868560841662e-06,-0.480713411368648,0.154,0.217,0.106255505766744,"ANKRD44"
"CMTM7",7.85344756477769e-06,-0.457340612088097,0.252,0.317,0.10631997313196,"CMTM7"
"CCDC66",8.28782545983252e-06,-0.549647975370932,0.082,0.132,0.112200581075213,"CCDC66"
"WASF2",8.31040095838056e-06,-0.384301258144248,0.327,0.396,0.112506208174556,"WASF2"
"CRLF3",8.41875612200816e-06,-0.541513837795921,0.062,0.106,0.113973120379746,"CRLF3"
"NBR1",8.51922125699521e-06,-0.568620367877449,0.079,0.127,0.115333217377201,"NBR1"
"ADAP2",8.78255683244699e-06,-0.489676650463739,0.212,0.277,0.118898254397667,"ADAP2"
"ATP6V1C1",8.80969954521248e-06,0.360720393580428,0.215,0.142,0.119265712443087,"ATP6V1C1"
"SBDS",8.87246900594324e-06,-0.374923975610223,0.293,0.367,0.12011548540246,"SBDS"
"ABL2",9.01597176923825e-06,0.269243299579021,0.262,0.18,0.122058225811947,"ABL2"
"IMPA2",9.07493612849958e-06,-0.623563217179994,0.058,0.1,0.122856485307627,"IMPA2"
"RHBDF2",9.53822599476786e-06,0.390426904084994,0.182,0.116,0.129128503517167,"RHBDF2"
"MIDN",9.65613120975186e-06,-0.291242197111816,0.325,0.403,0.130724704317621,"MIDN"
"STXBP3",9.6864211780252e-06,-0.266926629113756,0.126,0.187,0.131134769908105,"STXBP3"
"HPCAL1",9.85198295477731e-06,0.452984495424315,0.245,0.175,0.133376145241775,"HPCAL1"
"CAB39",1.04245410419581e-05,-0.35125484483481,0.148,0.213,0.141127436626028,"CAB39"
"SYK",1.05282507207711e-05,-0.340271356321166,0.203,0.274,0.1425314582578,"SYK"
"SPOP",1.07651360031726e-05,-0.469885736114576,0.169,0.233,0.14573841121095,"SPOP"
"FAM162A",1.07999887798738e-05,0.445315026496595,0.317,0.242,0.146210248101931,"FAM162A"
"CATSPER1",1.09133291299032e-05,0.775349509067828,0.135,0.083,0.147744649760629,"CATSPER1"
"RAD51C",1.09953260197468e-05,-0.55993751994041,0.092,0.142,0.148854723655333,"RAD51C"
"GPX3",1.09985827361204e-05,0.456716720048842,0.102,0.054,0.148898813081598,"GPX3"
"GIMAP2",1.10411970859963e-05,-0.623091917516735,0.106,0.158,0.149475726150218,"GIMAP2"
"FGR",1.10950151901261e-05,0.48972679349925,0.313,0.245,0.150204315643928,"FGR"
"ORMDL2",1.11381821110933e-05,0.360950583807095,0.342,0.26,0.150788709419981,"ORMDL2"
"CYB5D1",1.14454874935741e-05,-0.57120277682987,0.059,0.101,0.154949009688006,"CYB5D1"
"PGAM1",1.15076345886946e-05,0.278354227591118,0.522,0.445,0.155790357061747,"PGAM1"
"MARCKS",1.16411101648479e-05,-0.260587971544414,0.482,0.556,0.15759734941171,"MARCKS"
"OXSR1",1.17184788375488e-05,-0.345276101000554,0.159,0.224,0.158644766502736,"OXSR1"
"RCN1",1.19056114648057e-05,0.718512127887795,0.1,0.054,0.161178168010539,"RCN1"
"CBX6",1.20127084855306e-05,-0.400073005375625,0.074,0.122,0.162628047477113,"CBX6"
"RPF2",1.20210702966609e-05,0.618873848630483,0.148,0.093,0.162741249676195,"RPF2"
"ZMYM2",1.25231388788937e-05,-0.519783841756977,0.15,0.211,0.169538254142462,"ZMYM2"
"IFT57",1.25477234675497e-05,-0.387261760338725,0.062,0.106,0.169871080303688,"IFT57"
"NOP56",1.27549932567943e-05,0.42811401680223,0.255,0.187,0.172677098710481,"NOP56"
"LAIR1",1.28471118802691e-05,0.259770091186764,0.352,0.263,0.173924200635084,"LAIR1"
"ALG13",1.28625848115109e-05,-0.503614779103558,0.147,0.209,0.174133673178235,"ALG13"
"MRPL24",1.34633500765374e-05,0.473834780194541,0.177,0.117,0.182266833336163,"MRPL24"
"ABHD12",1.35857241103516e-05,0.460365501576335,0.197,0.132,0.18392353300594,"ABHD12"
"ZFAND5",1.39998626682074e-05,-0.257787827690895,0.578,0.622,0.189530140802191,"ZFAND5"
"CTSG",1.46029469739408e-05,-0.846057607603972,0.069,0.112,0.197694696133211,"CTSG"
"CNOT6L",1.46224363303206e-05,-0.470686017699195,0.083,0.132,0.19795854303988,"CNOT6L"
"SP110",1.47197264895899e-05,-0.368866608182556,0.107,0.163,0.199275657216068,"SP110"
"PLXDC2",1.48566805916249e-05,0.299355017938765,0.352,0.266,0.201129741849418,"PLXDC2"
"RASSF2",1.48987854253513e-05,-0.383964440946417,0.145,0.207,0.201699757088406,"RASSF2"
"PRNP",1.53919351733143e-05,0.379389277355796,0.311,0.236,0.208376018376329,"PRNP"
"CLIP1",1.58044021554196e-05,-0.321959003228071,0.157,0.223,0.213959996380071,"CLIP1"
"FGFR1OP2",1.59527627745386e-05,0.523422389002592,0.237,0.173,0.215968502441704,"FGFR1OP2"
"LAMP2",1.61735089147382e-05,0.320211524022147,0.367,0.285,0.218956963687725,"LAMP2"
"GPI",1.66418246310668e-05,0.370367365351973,0.231,0.161,0.225297021855383,"GPI"
"OPN3",1.68232833855414e-05,0.5729126037204,0.131,0.078,0.22775361047346,"OPN3"
"RPS6KA5",1.68787386389832e-05,-0.71405241713054,0.069,0.113,0.228504363694555,"RPS6KA5"
"FNIP1",1.69801045946931e-05,0.475528697563818,0.311,0.245,0.229876656002955,"FNIP1"
"OAS1",1.7021942007315e-05,-0.527956857801372,0.118,0.173,0.230443050895031,"OAS1"
"ITGB1",1.7735313894989e-05,0.41501463978093,0.431,0.368,0.240100679510361,"ITGB1"
"HOTAIRM1",1.78551289375684e-05,-0.493052473810892,0.109,0.162,0.241722735556801,"HOTAIRM1"
"STIM2",1.81773076878519e-05,-0.740480933298891,0.063,0.105,0.246084391478139,"STIM2"
"EIF4E2",1.87060388496367e-05,-0.309762343470418,0.308,0.381,0.253242353946382,"EIF4E2"
"PIM2",1.87455559526239e-05,-0.452857558892006,0.081,0.128,0.253777336486622,"PIM2"
"RMDN1",1.87566247762054e-05,-0.662531353636613,0.097,0.145,0.253927186220269,"RMDN1"
"SAMD9",1.92808247101866e-05,-0.281597730987301,0.126,0.185,0.261023804926507,"SAMD9"
"MCTP1",1.96412449759234e-05,-0.387058760997686,0.106,0.159,0.265903174484051,"MCTP1"
"ABCA1",1.97551026938591e-05,0.280957544507452,0.27,0.192,0.267444580269464,"ABCA1"
"SWAP70",1.97923995982961e-05,0.368933620006599,0.255,0.186,0.267949505761732,"SWAP70"
"APP",1.98018569775716e-05,0.597841613033154,0.192,0.133,0.268077539762364,"APP"
"ATP2A2",1.98456376151532e-05,0.503807849397027,0.204,0.14,0.268670242033945,"ATP2A2"
"C20ORF27",2.02230459803514e-05,-0.384096027242153,0.215,0.283,0.273779596481998,"C20ORF27"
"CACUL1",2.02574419872241e-05,-0.444033314770533,0.154,0.216,0.27424524962304,"CACUL1"
"BDP1",2.05675385459436e-05,-0.311664661862199,0.174,0.242,0.278443336834985,"BDP1"
"TGFBI",2.11878617859376e-05,0.331084429511502,0.522,0.466,0.286841272858024,"TGFBI"
"ING4",2.13986003728177e-05,-0.658003785151616,0.067,0.11,0.289694251847206,"ING4"
"CITED2",2.22089543704858e-05,-0.34607525808644,0.265,0.333,0.300664824267637,"CITED2"
"SPEN",2.32919402212159e-05,-0.31355436799801,0.133,0.193,0.31532628671482,"SPEN"
"PSTPIP1",2.35084291051883e-05,-0.478902172625549,0.103,0.154,0.318257113226039,"PSTPIP1"
"SLC44A1",2.40686571973722e-05,0.660004761134411,0.217,0.159,0.325841481138025,"SLC44A1"
"SMIM4",2.40930972313119e-05,0.317527003528233,0.238,0.167,0.3261723503175,"SMIM4"
"NAPRT",2.41642292752382e-05,-0.447277644667566,0.215,0.273,0.327135335928175,"NAPRT"
"DMXL2",2.41855769027887e-05,-0.322594431342797,0.188,0.257,0.327424340109953,"DMXL2"
"ZC3H12A",2.43953927827158e-05,0.507988847157131,0.234,0.168,0.330264827492407,"ZC3H12A"
"ATF5",2.43987499715907e-05,0.608212014620323,0.228,0.166,0.330310277115395,"ATF5"
"DIAPH2",2.47035426668292e-05,-0.476393228834048,0.095,0.145,0.334436560623533,"DIAPH2"
"PIM1",2.47926676535984e-05,0.682052322088676,0.183,0.127,0.335643134694416,"PIM1"
"ARHGAP4",2.51096724923812e-05,-0.432415567551099,0.134,0.191,0.339934746201856,"ARHGAP4"
"RALB",2.53006676042787e-05,-0.340786906757065,0.17,0.236,0.342520438026725,"RALB"
"SNHG12",2.61204346499788e-05,0.525646023249569,0.123,0.073,0.353618444291412,"SNHG12"
"SBF2",2.62972115747392e-05,-0.472227753346963,0.105,0.156,0.356011650298819,"SBF2"
"CCDC47",2.71153399313247e-05,0.45918990155578,0.276,0.21,0.367087471990274,"CCDC47"
"RABGAP1L",2.73364235561488e-05,-0.421767193890609,0.12,0.175,0.370080502103143,"RABGAP1L"
"LRP1",2.74106700183754e-05,-0.366724962010634,0.211,0.275,0.371085650708766,"LRP1"
"VASH1",2.757899679848e-05,0.784320794765788,0.101,0.057,0.373364458657823,"VASH1"
"LAMP1",2.8285691483961e-05,0.295955332389355,0.436,0.349,0.382931691309863,"LAMP1"
"FOSL2",2.8714028084601e-05,-0.257017122604938,0.454,0.522,0.388730512209329,"FOSL2"
"RHEB",2.9541548636086e-05,0.278655368817481,0.44,0.356,0.399933485435332,"RHEB"
"ANKH",3.07882336292722e-05,0.593385190389493,0.1,0.056,0.416811106873087,"ANKH"
"SPAG9",3.10665497996744e-05,0.452403872799879,0.306,0.237,0.420578951187992,"SPAG9"
"ATP6AP2",3.18071148458412e-05,0.262030898611518,0.522,0.456,0.430604720782998,"ATP6AP2"
"AK2",3.23035993983879e-05,0.437776304585073,0.248,0.183,0.437326128655375,"AK2"
"CTDSP2",3.24933204662962e-05,-0.605383624647566,0.096,0.143,0.439894572472718,"CTDSP2"
"LRPAP1",3.37279397833994e-05,0.253985184813114,0.426,0.337,0.456608848787662,"LRPAP1"
"TUBB6",3.41985439631525e-05,0.387439256190622,0.112,0.064,0.462979888173158,"TUBB6"
"PGLS",3.42909640966239e-05,-0.263532557184303,0.425,0.493,0.464231071940094,"PGLS"
"TMBIM1",3.52097367879624e-05,0.456477124280426,0.188,0.129,0.476669416635435,"TMBIM1"
"SPATA13",3.5424449815947e-05,-0.362813434108394,0.102,0.154,0.479576201608291,"SPATA13"
"PSMA6",3.60199299181296e-05,0.631278549677096,0.25,0.192,0.487637811231638,"PSMA6"
"EIF4E",3.73059286009801e-05,0.300355778437834,0.303,0.228,0.505047661400069,"EIF4E"
"DUSP4",3.78294158343415e-05,0.566802393455083,0.131,0.08,0.512134631565315,"DUSP4"
"LUC7L3",3.7912512647369e-05,-0.288488711050669,0.283,0.356,0.513259596220081,"LUC7L3"
"MLX",3.84617255935193e-05,0.547080216896837,0.201,0.142,0.520694841085065,"MLX"
"CMIP",3.85353534547484e-05,-0.295050087837984,0.256,0.328,0.521691615070384,"CMIP"
"CD164",3.89993680573498e-05,0.358272386642692,0.469,0.418,0.527973444760402,"CD164"
"TCP1",3.95474587468249e-05,0.445960737680503,0.295,0.232,0.535393496514516,"TCP1"
"FAM210A",3.97572967211501e-05,0.770774359718016,0.121,0.073,0.53823428301093,"FAM210A"
"SNHG15",4.11467831027894e-05,-0.287151759840487,0.199,0.267,0.557045149645563,"SNHG15"
"UBE2E3",4.11602306957122e-05,-0.414059024049455,0.159,0.219,0.557227203158552,"UBE2E3"
"CRYL1",4.1303540776928e-05,-0.672197928357907,0.118,0.168,0.559167335038051,"CRYL1"
"COA6",4.15274764510947e-05,0.555176196008684,0.171,0.115,0.562198976194921,"COA6"
"EMB",4.24616528398561e-05,-0.403678468694274,0.125,0.18,0.574845856145972,"EMB"
"USP53",4.25270026660131e-05,0.253288876591152,0.106,0.06,0.575730562092485,"USP53"
"VEGFB",4.30283244837135e-05,0.583698919368792,0.116,0.069,0.582517456860513,"VEGFB"
"CDC40",4.30575683754334e-05,-0.371220983585872,0.17,0.231,0.582913360666617,"CDC40"
